Timestamp,Nom de la structure,Type de structure,Rue,Code postal,Ville,Email,Téléphone fixe,Téléphone mobile,Site web,Description courte,Description longue,Url de l'image,Catégorie,Mot-clé 1,Latitude,Longitude,Code pays
02/04/2018 09:04:20,Nulle Part Ailleurs,Entreprise,3 place st Goëry,88000,Epinal,manginremi@yahoo.fr,03 72 34 89 24,,,"Un salon de thé revisité; plat du jour, tartines, wraps, soupes et tartes maison, autour d'un thé, un verre de vin ou de champagne.",,https://scontent-frx5-1.xx.fbcdn.net/v/t1.0-9/12313932_1529039580741870_2365513765044520850_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeHnPSvBoQLAF47HfqxXiBHo6La7QOBeZr79sFr3dx-QRpMYjUUcQ-HpFk43XGKhUasXoNL723C546lSespjMWKw2GuOoLsWl0BqcLQssXX1pA&oh=d3bbcde99b178a4e868e4a7623398e8d&oe=5B3B905C,Café / salon de thé,petite restauration,48.174164,6.45052,FR
06/04/2018 16:11:28,La Golaye,Entreprise,Fromagerie de la Cense - 1110 RUE JULES BOUGEL,88220,Xertigny,contact@lagolaye.fr,,0689 674 081 ,http://www.lagolaye.fr/,Micro brasserie,,http://www.lagolaye.fr/images/logo.png,Brasserie,local,48.051447,6.417639,FR
25/04/2018 17:04:52,Ecolonie,Association,1 Thietry,88260,Hennezel,info@ecolonie.eu,0329070027,,https://www.ecolonie.eu,Centre écologique international,"""L’écologie (la doctrine de la pensée et la pratique écologique) est plus que jardiner et construire sainement et écologiquement. L’écologie est un concept qui comprend tous les aspects de la vie, matériels et spirituels. Le mot éco vient du grec oikos, qui veut dire ‘chez soi’. Se sentir quelque part chez soi veut tout simplement dire ‘se sentir à l’aise, pouvoir être soi-même’.
Cette idée se traduit dans un concept, où les thèmes de durabilité, (d’expérience) de la nature, créativité et spiritualité s’inspirent les uns les autres. La possibilité est offerte à chacun de donner un contenu personnel à la notion de spiritualité. Notre contenu est matériel et concret, sans dogmatisme.

Nous essayons de donner forme à l’aspiration utopique d’une société durable, diversifiée, humaine au travers de l’ambiance et des activités qui sont proposées à l’ECOlonie.

ECOlonie n’est pas une propriété individuelle, mais une association. C’est un choix voulu d’être un endroit de rencontre et cela pour tous ceux qui partagent les idées de base.
Compte tenu de la position géographique centrale, nous nous efforçons d’être un centre Européen, où les nationalités diverses se rencontrent dans une ambiance libre, ouverte mais également engagée.""
https://www.ecolonie.eu/fr/ecovillage",https://www.ecolonie.eu/fr/ecovillage,Magasin de producteurs / vente directe,"Ethique, bio",,,
25/04/2018 17:18:46,Clairdefruits,Entreprise,33 rue Victor Durain,88150,Thaon les Vosges 88150 Capavenir Vosges ,,,06 62 60 75 33,https://clairdefruits.fr/,Des confitures... ou presque,"Dans une démarche environnementale globale et durable, j’utilise pour mes préparations des fruits  cultivés sans aucun pesticide ni engrais chimique, des fruits sauvages, des fruits bio, et  du sucre de canne biologique.
Les fruits, cueillis à maturité, proviennent le plus souvent possible de vergers vosgiens, voire lorrains, ou alsaciens, sauf bien sûr les agrumes, les abricots, les melons …   La provenance la plus éloignée reste la Sicile, pour les agrumes .
Cette pratique permet de développer des partenariats durables avec des  producteurs locaux, et réduit aussi notre impact écologique en réduisant les distances du champ à la tartine….
(Pour être cohérente avec ma démarche je ne vous proposerai jamais de préparations de fruits exotiques !)
Les pots sont en verre, bien sûr, (rien ne vous empêche de me rapporter les vides d’une fois sur l’autre ) et les étiquettes en papier certifié fsc sont imprimées avec des encres végétales, et collées avec une colle “maison”, à base de farine et d’eau.
Mes préparations contiennent au minimum 60% de fruits, et seulement 40% de sucre ajouté (sauf les agrumes, qui sont plutôt à 50/50 ).
À ce titre, elles ne peuvent pas s’appeler “confitures”, selon la législation en vigueur.
Les “velours” sont préparés avec le jus des fruits, et sont donc l’équivalent des gelées.
L’utilisation d’un gélifiant naturel, l’agar-agar,et de jus de citron, permet de les cuire moins longtemps, ainsi le goût du fruit est préservé !
Vous le voyez, mes recettes sont délicieuses pour vous, mais bonnes aussi pour la planète !!",https://clairdefruits.fr/wp-content/uploads/2017/04/Clairdefruits-e1496576609316.png,Magasin de producteurs / vente directe,"Ethique, fait maison, de saison",,,
28/04/2018 10:42:45,La Ferme d'Amerey,Entreprise,"911, grande rue d'Amerey",88220,XERTIGNY,,03 29 30 11 40,,,Maraîchage Bio,"Production et Vente de légumes bios en direct à la ferme, en paniers, ou sur le marché de Xertigny le jeudi matin",,Magasin de producteurs / vente directe,"Légumes Bios, vente directe",,,
28/04/2018 14:52:03,Le Clos Lery,Entreprise,43 Chemin des Roches,88340,Le Val d'Ajol,domainelecloslery@orange.fr,329305071,,http://www.lecloslery.fr,Producteurs (marque Bleu Vert Vosges),"produits fait artisanale 100 % naturelle, comme des gelées ( + de 30 variétés), sirop ( + de 20 variétés), confitures, plantes médicinales, épices, sel aux herbes,...",https://static4.pagesjaunes.fr/media/vignette/AAAAPD2E2UL0-C10001.gif,Magasin de producteurs / vente directe,fait maison,,,
04/05/2018 10:00:19,L'Atelier Bio,Entreprise,108 route de Celles,88120,Saint-Amé,lecomptoirdeshauts@gmail.com,03 55 22 04 09,,,Épicerie spécialisée,"Magasin Bio ; épicerie, fruits et légumes, compléments alimentaire et bien être",https://scontent-bru2-1.xx.fbcdn.net/v/t1.0-1/p480x480/29684242_359740194521633_8538439834020845454_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeFBs5IwNxk9mxGea-u1L_ccyY3PUUQXYaV9afpmh5zcMwQ8zT72EpnTxH2JBI5-17Mbeh7kXb9kdRLixNIYGN__c9k5U4oTYmVMezEE1825nQ&oh=60be3baa0d9d7e09f168384317408df2&oe=5B932909,Supérette / épicerie / supermarché,bio,,,
09/05/2018 10:24:22,Aux jardins de Paulette,Entreprise,44 Le Moulin picard,88340,Girmont-Val d'Ajol,,,632972222,,Maraîchers bio en vente directe. ,"
Nous produisons une cinquantaine de variétés de légumes de saison. 
Nous commercialisons également des replants de légumes bio et des petits fruits (fraises, framboises)
Présents sur les marchés, vente à la ferme (mardi et vendredi de 17h à 18h30), livraison de paniers",,Magasin de producteurs / vente directe,Bio,,,
14/05/2018 17:22:24,Earl le millepertuis,Entreprise,"24, rue l'étang l'abbé ",88600,Grandvillers,lemillepertuis@lemillepertuis.com,,685909235,Http://www.lemillepertuis.com,Ferme vendant des produits de soin naturels à base de plantes ,"L'entreprise cultive et transforme des plantes aromatiques et médicinales en produits de soin : tisanes, crèmes de soins 100% naturelles. Mais aussi produits alimentaires : aromates frais ou secs, tisanes.
L'entreprise a adopté une méthode de culture dite de conservation des sols et agroecologique. Elle n'utilise aucun pesticide.  ",http://www.lemillepertuis.com/,Magasin de producteurs / vente directe,Produits naturels,,,
18/05/2018 15:04:35,Super Pressing,Entreprise,Ernest Renan,88000,Epinal,,329310305,,,Blanchisserie pressing proposant des nettoyages sans produits chimiques,,https://sle.pagesjaunes.fr/img/themas/V3/entretien_02_V3.jpg,Habillement,produits naturels,,,
